timestamp,raw_value
1724822239.5760279,100
1724822239.5890274,100
1724822239.6010294,32
1724822239.614027,85
1724822239.62603,-5
1724822239.63803,61
1724822239.65428,186
1724822239.7342844,186
1724822239.7472873,70
1724822239.7592216,139
1724822239.7712226,99
1724822239.7832239,120
1724822239.7952235,-20
1724822239.8072262,-29
1724822239.8212252,12
1724822239.8412268,34
1724822239.860227,67
1724822239.8782282,24
1724822239.89823,-70
1724822239.9102309,-45
1724822239.9232366,44
1724822239.9362404,84
1724822239.9482353,139
1724822239.9602358,133
1724822239.9722393,-25
1724822239.984238,105
1724822239.9972389,61
1724822240.0092402,-90
1724822240.0212429,-21
1724822240.0342429,-74
1724822240.047242,123
1724822240.059248,3
1724822240.0712504,61
1724822240.0842516,68
1724822240.0972562,64
1724822240.1172533,52
1724822240.1322541,147
1724822240.1452549,19
1724822240.1582596,11
1724822240.1712594,65
1724822240.1832602,100
1724822240.1952605,50
1724822240.2072597,-69
1724822240.220263,35
1724822240.2332726,-9
1724822240.2472622,104
1724822240.2592628,34
1724822240.2712657,-5
1724822240.2842636,-25
1724822240.2962651,81
1724822240.308269,7
1724822240.3202696,0
1724822240.3322752,49
1724822240.3442693,136
1724822240.3562722,224
1724822240.3702807,227
1724822240.3842719,227
1724822240.397273,135
1724822240.4092734,29
1724822240.4222817,-56
1724822240.4352775,-1
1724822240.4483984,116
1724822240.4600005,8
1724822240.4720042,-12
1724822240.48501,-103
1724822240.4980032,104
1724822240.5100055,-21
1724822240.522005,21
1724822240.5340054,54
1724822240.5480075,65
1724822240.560016,-83
1724822240.5720181,134
1724822240.5840187,134
1724822240.5970209,120
1724822240.60902,-9
1724822240.6210213,-9
1724822240.632638,5
1724822240.644639,-65
1724822240.6566398,-37
1724822240.6696453,58
1724822240.682644,130
1724822240.6946433,16
1724822240.7066445,-53
1724822240.7196486,98
1724822240.7336564,52
1724822240.747647,12
1724822240.7596478,-70
1724822240.7716484,-46
1724822240.7836516,157
1724822240.7956505,5
1724822240.8076515,34
